filename,i,run_time,total_loss,content_loss,style_loss,learning_rate,iters,alpha,beta,noise_ratio,optimizer,new_width,pool_method,pool_stride,last_style_loss_layer_w,style_num_layers,content_layer_num
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.9.jpg,100,0.866979933,21795308,0.03495571,217953.0781,1,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.0125_snl5_cln4_time0.9.jpg,100,0.908121929,5585026,0.03454211,55850.26172,1,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln1_time0.9.jpg,100,0.945221651,22589498,0.000808133,225894.9844,1,100,1,100,0.1,lbfgs,300,avg,2,,5,1
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln2_time1.0.jpg,100,0.958652313,21862042,0.004616331,218620.4219,1,100,1,100,0.1,lbfgs,300,avg,2,,5,2
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln3_time1.0.jpg,100,0.96140877,21926374,0.00411048,219263.7344,1,100,1,100,0.1,lbfgs,300,avg,2,,5,3
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.0.jpg,100,1.042510986,22288108,0.03455941,222881.0781,1,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln5_time1.1.jpg,100,1.055506709,21994954,0.000207927,219949.5313,1,100,1,100,0.1,lbfgs,300,avg,2,,5,5
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta0_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.1.jpg,100,0.103967767,0.000295246,0.000295246,113754104,1,100,1,0,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha100_beta1_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.1.jpg,100,1.116826677,219666.5313,0.034624092,219663.0625,1,100,100,1,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha10_beta1_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.1.jpg,100,1.1320081,224981.6875,0.034482714,224981.3438,1,100,10,1,0.1,lbfgs,300,avg,2,,5,4
